"Cr","Mr","Popsize","Generasi","Best Fitness","Average Fitness","msg"
"0.1","0.1","10","1000","0.21551724137931","0.1916876044565","56.81 detik"
"0.1","0.2","10","1000","0.20618556701031","0.18974700613325","54.26 detik"
"0.1","0.3","10","1000","0.18975332068311","0.17058050860383","54.41 detik"
"0.1","0.4","10","1000","0.18604651162791","0.17739245324583","59.39 detik"
"0.1","0.5","10","1000","0.16273393002441","0.15775372713053","54.30 detik"
"0.1","0.6","10","1000","0.16181229773463","0.1598403461784","53.79 detik"
"0.1","0.7","10","1000","0.17361111111111","0.17045763400334","54.53 detik"
"0.1","0.8","10","1000","0.16750418760469","0.15988070260479","53.45 detik"
"0.1","0.9","10","1000","0.16273393002441","0.15913375138026","53.04 detik"
"0.2","0.1","10","1000","0.20470829068577","0.18562789525704","53.55 detik"
"0.2","0.2","10","1000","0.21881838074398","0.19809189239425","53.45 detik"
"0.2","0.3","10","1000","0.19102196752627","0.17452931345687","53.46 detik"
"0.2","0.4","10","1000","0.18248175182482","0.17420331448122","53.64 detik"
"0.2","0.5","10","1000","0.17361111111111","0.16480756830684","57.05 detik"
"0.2","0.6","10","1000","0.15910898965792","0.15384463330298","57.92 detik"
"0.2","0.7","10","1000","0.15822784810127","0.15211315083697","58.47 detik"
"0.2","0.8","10","1000","0.1573564122738","0.15275176245765","56.32 detik"
"0.2","0.9","10","1000","0.15910898965792","0.1536132175701","52.57 detik"
"0.3","0.1","10","1000","0.23310023310023","0.19313410355126","53.48 detik"
"0.3","0.2","10","1000","0.19900497512438","0.1779857541846","53.02 detik"
"0.3","0.3","10","1000","0.18132366273799","0.16485786304607","52.98 detik"
"0.3","0.4","10","1000","0.17574692442882","0.16577967184126","52.87 detik"
"0.3","0.5","10","1000","0.17361111111111","0.16832260567013","53.08 detik"
"0.3","0.6","10","1000","0.16181229773463","0.15849327463167","52.99 detik"
"0.3","0.7","10","1000","0.17361111111111","0.16400149248029","53.89 detik"
"0.3","0.8","10","1000","0.16","0.15616334781249","53.45 detik"
"0.3","0.9","10","1000","0.14461315979754","0.14170712688109","52.89 detik"
"0.4","0.1","10","1000","0.21074815595364","0.19104825880849","53.42 detik"
"0.4","0.2","10","1000","0.20768431983385","0.19418290224499","54.08 detik"
"0.4","0.3","10","1000","0.187265917603","0.17763480947342","53.63 detik"
"0.4","0.4","10","1000","0.18248175182482","0.17480640690911","53.09 detik"
"0.4","0.5","10","1000","0.16949152542373","0.16299486048988","53.22 detik"
"0.4","0.6","10","1000","0.16652789342215","0.1592342776631","53.20 detik"
"0.4","0.7","10","1000","0.1573564122738","0.15360514638305","53.24 detik"
"0.4","0.8","10","1000","0.16273393002441","0.15802273814363","52.47 detik"
"0.4","0.9","10","1000","0.1609010458568","0.15315664751599","52.78 detik"
"0.5","0.1","10","1000","0.2171552660152","0.19263487198708","53.52 detik"
"0.5","0.2","10","1000","0.20040080160321","0.17567498802784","53.83 detik"
"0.5","0.3","10","1000","0.18604651162791","0.16990244174323","52.47 detik"
